label,class,account,name
さいたま市,市長,shimizuhayato,清水勇人
さいたま市,市議会,so_matsushita,松下そういち
さいたま市,市議会,inagawah,稲川晴彦
さいたま市,市議会,seijinikokorowo,久保みき
